implementation,ticket_id,run_index,step,latency_ms
baml,T001,1,classification,1983.8477920275182
baml,T001,1,draft,3715.3389581944793
baml,T001,1,facts,2933.5633751470596
baml,T001,2,classification,960.7089578639716
baml,T001,2,draft,3356.6869171336293
baml,T001,2,facts,3256.174457957968
baml,T001,3,classification,1533.037208020687
baml,T001,3,draft,3375.46429107897
baml,T001,3,facts,1850.6901669315994
baml,T001,4,classification,1329.2154578957707
baml,T001,4,draft,2459.3977499753237
baml,T001,4,facts,2352.363167097792
baml,T001,5,classification,1019.8321251664311
baml,T001,5,draft,2419.500666903332
baml,T001,5,facts,2291.276125004515
baml,T002,1,classification,1122.0488329418004
baml,T002,1,draft,2813.5174999479204
baml,T002,1,facts,1945.1704157982022
baml,T002,2,classification,1123.1869580224156
baml,T002,2,draft,3133.5449581965804
baml,T002,2,facts,3985.298999818042
baml,T002,3,classification,1535.0415830034763
baml,T002,3,draft,3471.243832958862
baml,T002,3,facts,3184.9230842199177
baml,T002,4,classification,1091.4267918560654
baml,T002,4,draft,2906.3817497808486
baml,T002,4,facts,3182.748124934733
baml,T002,5,classification,1519.3920419551432
baml,T002,5,draft,2559.7091671079397
baml,T002,5,facts,3174.8739168979228
baml,T003,1,classification,1120.4995829612017
baml,T003,1,draft,2800.6402500905097
baml,T003,1,facts,2967.534333933145
baml,T003,2,classification,4982.037583133206
baml,T003,2,draft,2493.509874911979
baml,T003,2,facts,2457.0746670942754
baml,T003,3,classification,1294.9875830672681
baml,T003,3,draft,2644.6152499411255
baml,T003,3,facts,3104.286666959524
baml,T003,4,classification,2553.980000084266
baml,T003,4,draft,2856.5101670101285
baml,T003,4,facts,3069.7314999997616
baml,T003,5,classification,1225.5478750448674
baml,T003,5,draft,2062.339707976207
baml,T003,5,facts,3175.0318750273436
baml,T004,1,classification,1313.5382081381977
baml,T004,1,draft,2456.6840000916272
baml,T004,1,facts,2150.5395830608904
baml,T004,2,classification,1041.2325419019908
baml,T004,2,draft,2660.482499981299
baml,T004,2,facts,2850.14170804061
baml,T004,3,classification,1355.0565000623465
baml,T004,3,draft,2441.863583866507
baml,T004,3,facts,1934.3299998436123
baml,T004,4,classification,976.6045829746872
baml,T004,4,draft,2459.3000828754157
baml,T004,4,facts,1845.4299999866635
baml,T004,5,classification,964.6707919891924
baml,T004,5,draft,2954.26637516357
baml,T004,5,facts,3176.74612486735
baml,T005,1,classification,919.6696251165122
baml,T005,1,draft,3481.376542011276
baml,T005,1,facts,3389.0355420298874
baml,T005,2,classification,1329.1506248060614
baml,T005,2,draft,3101.9250829704106
baml,T005,2,facts,2939.4031250849366
baml,T005,3,classification,1064.9499169085175
baml,T005,3,draft,3478.301333030686
baml,T005,3,facts,1907.7382078394294
baml,T005,4,classification,1122.055125189945
baml,T005,4,draft,3547.9963328689337
baml,T005,4,facts,3006.4535830169916
baml,T005,5,classification,1089.0065000858158
baml,T005,5,draft,3116.826041135937
baml,T005,5,facts,2240.8030841033906
baml,T006,1,classification,1123.0859169736505
baml,T006,1,draft,2260.631750104949
baml,T006,1,facts,1836.122791050002
baml,T006,2,classification,1031.669249990955
baml,T006,2,draft,2569.4705829955637
baml,T006,2,facts,1824.8154169414192
baml,T006,3,classification,1211.7818330880255
baml,T006,3,draft,2011.8767500389367
baml,T006,3,facts,1649.18537507765
