implementation,ticket_id,scenario,runs,end_to_end_success_rate,all_label_accuracy,average_label_match_rate
baml,T001,clean_product_bug,5,0.0,0.0,0.7
baml,T002,enterprise_outage_renewal_pressure,5,0.0,0.0,0.5
baml,T003,vague_complaint_missing_info,5,0.0,0.0,0.55
baml,T004,billing_dispute,5,0.0,0.0,0.75
baml,T005,security_report,5,0.0,0.0,0.75
baml,T006,feature_request,5,0.0,0.0,0.6000000000000001
baml,T007,data_loss_concern,5,0.0,0.0,0.75
baml,T008,integration_failure,5,0.0,0.0,0.65
baml,T009,performance_degradation,5,0.0,0.0,0.5
baml,T010,account_access_issue,5,0.2,0.2,0.75
baml,T011,compliance_privacy_concern,5,0.0,0.0,0.75
baml,T012,low_priority_how_to,5,1.0,1.0,1.0
openai_structured,T001,clean_product_bug,5,0.0,0.0,0.7
openai_structured,T002,enterprise_outage_renewal_pressure,5,0.0,0.0,0.75
openai_structured,T003,vague_complaint_missing_info,5,0.0,0.0,0.45
openai_structured,T004,billing_dispute,5,1.0,1.0,1.0
openai_structured,T005,security_report,5,0.6,0.6,0.9
openai_structured,T006,feature_request,5,1.0,1.0,1.0
openai_structured,T007,data_loss_concern,5,0.6,0.6,0.9
openai_structured,T008,integration_failure,5,1.0,1.0,1.0
openai_structured,T009,performance_degradation,5,0.4,0.4,0.85
openai_structured,T010,account_access_issue,5,0.0,0.0,0.5
openai_structured,T011,compliance_privacy_concern,5,0.0,0.0,0.75
openai_structured,T012,low_priority_how_to,5,1.0,1.0,1.0
openai_json,T001,clean_product_bug,5,0.0,0.0,0.5
openai_json,T002,enterprise_outage_renewal_pressure,5,0.0,0.0,0.75
openai_json,T003,vague_complaint_missing_info,5,0.0,0.0,0.45
openai_json,T004,billing_dispute,5,1.0,1.0,1.0
openai_json,T005,security_report,5,0.6,0.6,0.9
openai_json,T006,feature_request,5,0.0,0.0,0.7
openai_json,T007,data_loss_concern,5,0.4,0.4,0.85
openai_json,T008,integration_failure,5,1.0,1.0,1.0
openai_json,T009,performance_degradation,5,1.0,1.0,1.0
openai_json,T010,account_access_issue,5,0.0,0.0,0.5
openai_json,T011,compliance_privacy_concern,5,0.0,0.0,0.75
openai_json,T012,low_priority_how_to,5,0.8,0.8,0.95
